term,estimate,penalty
informacion,-0.0019334292660719101,8.68511373751352e-4
informe,-0.001953173015691812,8.68511373751352e-4
ingresar,0,8.68511373751352e-4
ingreso,-0.0026784242919428974,8.68511373751352e-4
inmobiliario,0,8.68511373751352e-4
inmueble,-0.0013512722170789793,8.68511373751352e-4
integrado,-2.575026257572554e-4,8.68511373751352e-4
integral,-0.007281892860965927,8.68511373751352e-4
interior,-0.00990522816897657,8.68511373751352e-4
interno,4.411014375404188e-4,8.68511373751352e-4
inversion,-0.005108379552695132,8.68511373751352e-4
isla,0.0074711493421279074,8.68511373751352e-4
izacion,-0.0016667251557001836,8.68511373751352e-4
jacuzzi,0.00508220789020565,8.68511373751352e-4
jardin,0.015730859130069514,8.68511373751352e-4
juego,3.363326467576435e-4,8.68511373751352e-4
junto,8.02787145387741e-4,8.68511373751352e-4
lado,-0.0014992066547283454,8.68511373751352e-4
laminado,-0.005380031087245044,8.68511373751352e-4
lavado,-0.003810240985999157,8.68511373751352e-4
lavanderia,-0.00872606401652266,8.68511373751352e-4
lavanderiar,-0.008512360464662968,8.68511373751352e-4
lavandero,-0.0026540230578162814,8.68511373751352e-4
libre,0,8.68511373751352e-4
linda,0.003558026273525911,8.68511373751352e-4
lindo,-9.028493564737815e-4,8.68511373751352e-4
linea,0.0021567481150312658,8.68511373751352e-4
linear,5.347367226559232e-4,8.68511373751352e-4
lineo,0,8.68511373751352e-4
lino,0,8.68511373751352e-4
lobby,0,8.68511373751352e-4
local,0.012625590612349061,8.68511373751352e-4
lote,0.006768585600876637,8.68511373751352e-4
lugar,0,8.68511373751352e-4
lujo,0.005336836323066675,8.68511373751352e-4
luminoso,-0.003044515259453505,8.68511373751352e-4
luz,-0.0021202944447957723,8.68511373751352e-4
madera,0.003878762520088652,8.68511373751352e-4
maderar,0,8.68511373751352e-4
madero,0.002318618936615749,8.68511373751352e-4
magnificar,3.8839675003070513e-4,8.68511373751352e-4
magnifico,0.00415220185245955,8.68511373751352e-4
marmol,0.003247244437014012,8.68511373751352e-4
mas,-7.812259244800309e-6,8.68511373751352e-4
mayo,6.593076705504147e-5,8.68511373751352e-4
mayor,0,8.68511373751352e-4
medio,0,8.68511373751352e-4
mejor,0.00508041383000187,8.68511373751352e-4
meson,-0.0025194586175192987,8.68511373751352e-4
minuto,0.0017334053720033122,8.68511373751352e-4
mismo,-0.00102743668172919,8.68511373751352e-4
mixto,1.4889635923332856e-4,8.68511373751352e-4
moderno,0.0034131053717263776,8.68511373751352e-4
mueble,0.002634573579717867,8.68511373751352e-4
multiple,0,8.68511373751352e-4
nal,3.5646165162703464e-4,8.68511373751352e-4
natural,-0.0026283707213738336,8.68511373751352e-4
navarra,0,8.68511373751352e-4
negocio,0.0026388888932547313,8.68511373751352e-4
nino,0.0029059133006007747,8.68511373751352e-4
nio,0,8.68511373751352e-4
nivel,-0.005204366747314292,8.68511373751352e-4
norte,-0.004288081130302573,8.68511373751352e-4
noveno,-0.0023263186544501884,8.68511373751352e-4
ntilde,0,8.68511373751352e-4
nuevo,0,8.68511373751352e-4
occidental,1.867579351906805e-4,8.68511373751352e-4
occidente,-5.905950903673592e-4,8.68511373751352e-4
ocho,-4.4866764947972665e-4,8.68511373751352e-4
oferta,-0.0015546130723124406,8.68511373751352e-4
oficina,0.01631936222084662,8.68511373751352e-4
ofrecer,0,8.68511373751352e-4
opcion,0,8.68511373751352e-4
oportunidad,-0.0054655948644802025,8.68511373751352e-4
oriental,0.0016739419638452388,8.68511373751352e-4
pad,0,8.68511373751352e-4
palatino,1.6077619896524007e-5,8.68511373751352e-4
panoramico,0,8.68511373751352e-4
pared,-1.3955785659137637e-4,8.68511373751352e-4
parque,-0.0013117354691221425,8.68511373751352e-4
parqueaderar,-0.007313904092921071,8.68511373751352e-4
parqueadero,-0.0026818772217423563,8.68511373751352e-4
parqueo,-0.002488298971667819,8.68511373751352e-4
parte,5.098033947810172e-5,8.68511373751352e-4
paso,-2.1751162454478686e-4,8.68511373751352e-4
patio,0.003305545670794136,8.68511373751352e-4
patricio,0.0043726281884824214,8.68511373751352e-4
peatonal,-0.001053736511582339,8.68511373751352e-4
penthousar,0.016046695283005223,8.68511373751352e-4
peque,-0.004765683725643703,8.68511373751352e-4
perfecto,-4.000957758099116e-4,8.68511373751352e-4
permitir,0,8.68511373751352e-4
piscina,0,8.68511373751352e-4
piso,-0.01396307944482228,8.68511373751352e-4
planta,0.002571505688592504,8.68511373751352e-4
plaza,-0.002730637591286383,8.68511373751352e-4
poco,-0.003783728663350213,8.68511373751352e-4
poder,0,8.68511373751352e-4
porcelanato,-0.0019716214468854486,8.68511373751352e-4
portal,0.0022362442291594866,8.68511373751352e-4
porteria,-0.0021386514138885602,8.68511373751352e-4
porteriar,-0.0019319862362621903,8.68511373751352e-4
poseer,-7.381975079047978e-4,8.68511373751352e-4
posibilidad,0,8.68511373751352e-4
presentar,0.0015141841125032231,8.68511373751352e-4
previo,-2.762790121841078e-4,8.68511373751352e-4
primero,0,8.68511373751352e-4
principal,-0.004335651344868705,8.68511373751352e-4
privado,0.004297323791443307,8.68511373751352e-4
privilegiado,0,8.68511373751352e-4
propiedad,0.0018128398382608517,8.68511373751352e-4
propio,-0.0017115198251187944,8.68511373751352e-4
proyecto,-3.7000205013025663e-4,8.68511373751352e-4
publico,8.675443483313456e-4,8.68511373751352e-4
puerta,-7.203010806905402e-4,8.68511373751352e-4
puerto,0.0037611286759437214,8.68511373751352e-4
punto,0.0020639286542650384,8.68511373751352e-4
quinto,-0.003699657905363146,8.68511373751352e-4
raiz,0,8.68511373751352e-4
rea,-0.00115933103597779,8.68511373751352e-4
recepcin,0,8.68511373751352e-4
recepcion,-0.006903873229387312,8.68511373751352e-4
recibir,0,8.68511373751352e-4
ref,-0.008108710473312243,8.68511373751352e-4
remodelado,-8.351119276181916e-4,8.68511373751352e-4
remodelar,-0.01043062374535706,8.68511373751352e-4
rentable,-0.003287135028079654,8.68511373751352e-4
rentahousar,0.009747240883615078,8.68511373751352e-4
rentar,-0.0025336127766815257,8.68511373751352e-4
reo,-4.381914536911155e-4,8.68511373751352e-4
